# OSD-522 shoot proteome — SOL/MEM reconciliation
# proteins seen in both fractions; the row with the smaller adjusted p-value was kept
accession	gene	kept_fraction	kept_log2fc	kept_adj_p	dropped
F4JVN6	TPP2	MEM	0.2800	0.05555	SOL log2fc=-0.080 adj_p=0.141
F4JVY8	LKR	SOL	0.3900	0.01629	MEM log2fc=0.140 adj_p=0.0877
F4JY76	At5g25754	SOL	-0.2900	0.06191	MEM log2fc=-0.030 adj_p=0.584
F4JYL8	At5g47690	MEM	-0.8800	0.0133	SOL log2fc=-0.650 adj_p=0.0507
F4JZY1	CIP1	MEM	-0.2000	0.09918	SOL log2fc=-0.400 adj_p=0.127
F4K000	MJC20.7	MEM	0.3200	0.03295	SOL log2fc=-0.080 adj_p=0.0772
F4K0E8	ISPG	MEM	-0.3900	0.01244	SOL log2fc=-0.150 adj_p=0.0897
F4K1G7	MEE13.8	MEM	-0.3600	0.005004	SOL log2fc=-0.250 adj_p=0.0481
F4K2Y3	MAB16.20	MEM	0.9800	0.00646	SOL log2fc=-0.120 adj_p=0.0524
F4K329	At5g42765	MEM	-0.3000	0.005861	SOL log2fc=0.180 adj_p=0.211
F4K410	SVR3	MEM	-0.7800	0.003526	SOL log2fc=-0.370 adj_p=0.0421
F4K4D5	TIF3B1	MEM	0.1000	0.2126	SOL log2fc=-0.300 adj_p=0.517
F4K4Y5	DEK4	MEM	-0.7700	0.06035	SOL log2fc=-0.040 adj_p=0.346
F4K5B9	MOJ9.20	SOL	-0.0700	0.2471	MEM log2fc=0.180 adj_p=0.587
F4K5T6	GSDA	MEM	0.4700	0.09721	SOL log2fc=-0.080 adj_p=0.306
F4K6Y8	At5g21060	MEM	0.0000	0.5977	SOL log2fc=-0.050 adj_p=0.613
F4K6Z4	At5g21105	MEM	-0.5600	0.03766	SOL log2fc=-0.550 adj_p=0.128
F4K703	LARP1a	SOL	-0.5800	0.09652	MEM log2fc=-0.120 adj_p=0.509
F4K7E0	MRH10.6	MEM	0.8700	0.02287	SOL log2fc=0.000 adj_p=0.716
F4K7T6	DXR	MEM	-0.3800	0.009333	SOL log2fc=-0.190 adj_p=0.123
F4KAS6	MBK5.9	SOL	0.2400	0.169	MEM log2fc=0.230 adj_p=0.172
F4KBF3	AAE17	MEM	0.3500	0.0374	SOL log2fc=0.120 adj_p=0.294
F4KC57	VPS20.1	SOL	-0.2400	0.1749	MEM log2fc=-0.150 adj_p=0.216
F4KDI1	YKT61	SOL	-0.3400	0.06191	MEM log2fc=-0.130 adj_p=0.148
F4KE63	EMB2247	MEM	-0.5000	0.04094	SOL log2fc=-0.100 adj_p=0.0933
F4KFD7	EMB2107	SOL	-0.0700	0.1559	MEM log2fc=-0.110 adj_p=0.164
F4KFJ2	At5g16880	MEM	0.3100	0.04014	SOL log2fc=-0.010 adj_p=0.567
F4KFV6	DEG8	SOL	-0.3800	0.05326	MEM log2fc=-0.460 adj_p=0.206
F4KG14	MCL19.12	MEM	-0.7000	0.01046	SOL log2fc=-0.640 adj_p=0.0863
F4KG91	At5g52580	MEM	-0.3500	0.05986	SOL log2fc=-0.500 adj_p=0.136
F4KGP6	At5g03660	MEM	0.5400	0.03387	SOL log2fc=0.130 adj_p=0.617
F4KHD5	MPO12.160	MEM	0.5900	0.01046	SOL log2fc=-0.130 adj_p=0.803
F4KHF4	KASI	MEM	0.5600	0.04073	SOL log2fc=0.040 adj_p=0.214
F4KHU8	UXS3	MEM	-0.2100	0.08409	SOL log2fc=0.060 adj_p=0.815
F4KIH8	MXC17.10	SOL	-0.6700	0.1323	MEM log2fc=0.030 adj_p=0.769
O03042	rbcL	SOL	-0.6500	0.02501	MEM log2fc=0.380 adj_p=0.157
O03986	HSP90-4	MEM	-0.4100	0.04138	SOL log2fc=-0.340 adj_p=0.204
O04023	SRC2	MEM	-0.1100	0.5142	SOL log2fc=0.040 adj_p=0.824
O04130	PGDH2	MEM	-0.7500	0.01022	SOL log2fc=-0.640 adj_p=0.0234
O04151	CRT1	MEM	-0.5000	0.04487	SOL log2fc=0.030 adj_p=0.96
O04153	CRT3	MEM	-0.6300	0.01137	SOL log2fc=-0.140 adj_p=0.106
O04202	TIF3F1	SOL	-0.3600	0.03963	MEM log2fc=-0.130 adj_p=0.422
O04209	CLC2	MEM	0.3800	0.06008	SOL log2fc=-0.660 adj_p=0.309
O04309	JAL35	MEM	0.4200	0.08895	SOL log2fc=0.020 adj_p=0.704
O04310	JAL34	MEM	1.3700	0.005139	SOL log2fc=0.820 adj_p=0.0503
O04311	JAL33	SOL	0.7700	0.02715	MEM log2fc=0.700 adj_p=0.0438
O04313	PBP2	MEM	1.0600	0.007316	SOL log2fc=0.820 adj_p=0.0505
O04314	PBP1	MEM	1.5700	0.009666	SOL log2fc=0.750 adj_p=0.025
O04350	TFCA	SOL	0.5500	0.4019	MEM log2fc=-0.120 adj_p=0.873
O04379	AGO1	SOL	-0.1400	0.09792	MEM log2fc=0.120 adj_p=0.134
O04450	CCT5	MEM	0.4100	0.02178	SOL log2fc=0.070 adj_p=0.493
O04482	UCH2	MEM	1.8500	0.01028	SOL log2fc=-0.190 adj_p=0.0507
O04487	At1g09640	MEM	0.6800	0.002757	SOL log2fc=-0.300 adj_p=0.0321
O04496	AED3	SOL	0.0900	0.2693	MEM log2fc=-0.250 adj_p=0.544
O04499	PGM1	MEM	0.0400	0.1297	SOL log2fc=0.120 adj_p=0.295
O04603	RPL5	MEM	0.6300	0.009063	SOL log2fc=0.050 adj_p=0.332
O04630	THRRS	MEM	0.3800	0.04534	SOL log2fc=-0.110 adj_p=0.146
O04904	PYR4	MEM	0.1900	0.2148	SOL log2fc=0.290 adj_p=0.219
O04905	UMK3	MEM	-0.1800	0.07447	SOL log2fc=-0.060 adj_p=0.163
O04922	GPX2	MEM	0.3700	0.00425	SOL log2fc=-0.020 adj_p=0.971
O04983	CAC2	MEM	0.3900	0.08303	SOL log2fc=0.020 adj_p=0.685
O22126	FLA8	MEM	1.0800	0.01703	SOL log2fc=0.090 adj_p=0.392
O22149	PME17	MEM	-0.2800	0.03641	SOL log2fc=0.490 adj_p=0.158
O22160	At2g44920	MEM	0.7400	0.07873	SOL log2fc=0.300 adj_p=0.667
O22173	PAB4	MEM	0.6100	0.02982	SOL log2fc=-0.520 adj_p=0.0867
O22229	NTRC	SOL	-0.0800	0.1013	MEM log2fc=-0.270 adj_p=0.186
O22263	PDIL2-1	MEM	-0.0500	0.1721	SOL log2fc=0.020 adj_p=0.988
O22265	CAO	MEM	0.7600	0.08082	SOL log2fc=-0.010 adj_p=0.687
O22287	CYT1	SOL	0.1600	0.2007	MEM log2fc=-0.070 adj_p=0.512
O22607	MSI4	MEM	-0.3600	0.03647	SOL log2fc=-0.320 adj_p=0.118
O22609	DEGP1	SOL	-0.4800	0.1416	MEM log2fc=-0.090 adj_p=0.727
O22683	CYN	MEM	-0.1900	0.04228	SOL log2fc=0.290 adj_p=0.182
O22715	AP1M2	MEM	-0.4200	0.05215	SOL log2fc=-0.340 adj_p=0.216
O22769	At4g02580	MEM	-0.3100	0.07098	SOL log2fc=-0.040 adj_p=0.484
O22773	At4g02530	SOL	0.2800	0.1821	MEM log2fc=-0.050 adj_p=0.264
O22785	PRP19B	SOL	-0.3800	0.05702	MEM log2fc=-0.060 adj_p=0.321
O22793	MORF2	MEM	-0.7100	0.03302	SOL log2fc=0.190 adj_p=0.269
O22795	RPL28	MEM	-1.0900	0.009666	SOL log2fc=0.410 adj_p=0.26
O22809	CRL1	SOL	0.3300	0.1628	MEM log2fc=0.110 adj_p=0.245
O22822	UGT74F2	MEM	0.7000	0.01117	SOL log2fc=0.650 adj_p=0.0685
O22842	At2g43610	MEM	0.6900	0.01511	SOL log2fc=1.590 adj_p=0.0833
O22860	RPL38A	MEM	0.6700	0.01692	SOL log2fc=0.760 adj_p=0.0885
O22886	HEME2	SOL	-0.1900	0.1334	MEM log2fc=-0.490 adj_p=0.233
O22899	At2g47250	MEM	-0.8400	0.004122	SOL log2fc=-0.480 adj_p=0.145
O22914	CP12-1	MEM	-0.7700	0.2337	SOL log2fc=0.070 adj_p=0.81
O22941	PXM16	MEM	-0.2600	0.03909	SOL log2fc=-0.060 adj_p=0.517
O22957	At2g34040	SOL	-0.4100	0.04239	MEM log2fc=-0.090 adj_p=0.472
O23006	LYM2	MEM	1.0700	0.02513	SOL log2fc=0.180 adj_p=0.38
O23016	KAB1	MEM	0.2500	0.1691	SOL log2fc=0.040 adj_p=0.459
O23034	At1g05350	MEM	0.5100	0.007892	SOL log2fc=0.200 adj_p=0.0414
O23049	RPL6	MEM	0.4600	0.01658	SOL log2fc=0.180 adj_p=0.255
O23138	CYTC-1	SOL	0.1900	0.242	MEM log2fc=-0.190 adj_p=0.855
O23144	PPI1	SOL	-0.0700	0.3763	MEM log2fc=0.120 adj_p=0.61
O23157	C7A10.60	MEM	0.6700	0.01216	SOL log2fc=0.480 adj_p=0.0754
O23179	PLP1	MEM	1.8600	0.01184	SOL log2fc=1.240 adj_p=0.0932
O23193	CBSX1	SOL	0.4100	0.03822	MEM log2fc=-0.270 adj_p=0.651
O23212	U2AF65A	MEM	-0.6500	0.04321	SOL log2fc=-0.120 adj_p=0.222
O23240	D2HGDH	MEM	-0.5000	0.08537	SOL log2fc=-0.020 adj_p=0.593
O23254	SHM4	MEM	0.5600	0.008402	SOL log2fc=0.150 adj_p=0.309
O23255	SAHH1	MEM	0.4700	0.06035	SOL log2fc=0.030 adj_p=0.902
O23264	SBP1	MEM	1.0800	0.003285	SOL log2fc=-0.200 adj_p=0.093
O23290	RPL36AA	SOL	0.8200	0.1427	MEM log2fc=-0.180 adj_p=0.184
O23344	FDC1	SOL	0.1500	0.1941	MEM log2fc=-0.440 adj_p=0.423
O23365	CYP97B3	MEM	-0.3100	0.02962	SOL log2fc=-0.300 adj_p=0.0618
O23392	dl3740c	MEM	0.4000	0.1126	SOL log2fc=0.710 adj_p=0.158
O23404	PPDK	MEM	0.8200	0.008445	SOL log2fc=0.270 adj_p=0.0379
O23406	UGT75D1	MEM	0.7200	0.009461	SOL log2fc=-0.190 adj_p=0.241
O23461	ARA1	SOL	-0.4700	0.06805	MEM log2fc=-0.160 adj_p=0.304
O23523	RGGA	MEM	-0.5000	0.197	SOL log2fc=-0.110 adj_p=0.78
O23553	BAM3	MEM	-0.6600	0.007283	SOL log2fc=-0.760 adj_p=0.0778
O23593	RGGB	MEM	-0.2300	0.1308	SOL log2fc=0.050 adj_p=0.678
O23617	TPS5	SOL	-0.6400	0.1702	MEM log2fc=0.300 adj_p=0.183
O23627	At1g29880	MEM	0.5800	0.009761	SOL log2fc=0.030 adj_p=0.993
O23647	SBE2.1	MEM	-0.5800	0.02395	SOL log2fc=-0.280 adj_p=0.0896
O23653	AK2	SOL	-0.2800	0.03228	MEM log2fc=-0.190 adj_p=0.279
O23654	VHA-A	SOL	0.1700	0.01629	MEM log2fc=0.190 adj_p=0.0522
O23657	RABC1	MEM	-0.0600	0.2014	SOL log2fc=-0.130 adj_p=0.755
O23676	MAGO	MEM	-0.4400	0.02798	SOL log2fc=0.070 adj_p=0.635
O23684	At2g41950	SOL	-0.0400	0.8533	MEM log2fc=-0.100 adj_p=0.949
O23708	PAB1	MEM	0.8000	0.03028	SOL log2fc=0.190 adj_p=0.0541
O23714	PBD1	MEM	0.6000	0.13	SOL log2fc=0.140 adj_p=0.188
O23722	MVD1	MEM	0.1400	0.1378	SOL log2fc=0.070 adj_p=0.544
O24456	RACK1A	MEM	0.2600	0.03499	SOL log2fc=0.130 adj_p=0.348
O24457	PDH-E1	SOL	0.1100	0.1937	MEM log2fc=0.230 adj_p=0.225
O24496	GLX2-2	MEM	0.5500	0.0272	SOL log2fc=0.410 adj_p=0.111
O24603	CHI	SOL	0.8700	0.2597	MEM log2fc=0.130 adj_p=0.578
O24616	PAD2	SOL	0.0500	0.1729	MEM log2fc=0.150 adj_p=0.353
O24633	PBD2	MEM	1.1400	0.007388	SOL log2fc=-0.040 adj_p=0.459
O24653	GDI2	MEM	0.2400	0.01234	SOL log2fc=0.110 adj_p=0.134
O24658	At2g43590	SOL	1.1000	0.1429	MEM log2fc=0.010 adj_p=0.45
O48549	RPS6A	MEM	-0.4300	0.1086	SOL log2fc=0.610 adj_p=0.134
O48593	SYNO	SOL	-0.1000	0.2974	MEM log2fc=-0.080 adj_p=0.46
O48646	GPX6	SOL	0.1400	0.07056	MEM log2fc=0.050 adj_p=0.77
O48661	SPDSYN2	SOL	0.2900	0.1185	MEM log2fc=0.140 adj_p=0.147
O48676	UGT74B1	MEM	-0.2400	0.01991	SOL log2fc=-1.040 adj_p=0.0507
O48724	WEB1	MEM	0.2000	0.1035	SOL log2fc=-0.170 adj_p=0.263
O48737	At1g03680	SOL	0.3500	0.2394	MEM log2fc=0.110 adj_p=0.687
O48741	PORC	MEM	-0.5800	0.01251	SOL log2fc=-0.410 adj_p=0.0316
O48773	PDIL2-3	MEM	-0.5200	0.08338	SOL log2fc=0.140 adj_p=0.241
O48782	HO1	MEM	-0.5700	0.102	SOL log2fc=-1.040 adj_p=0.109
O48802	CLMP1	SOL	-0.4400	0.02457	MEM log2fc=0.650 adj_p=0.0513
O48832	ERD7	MEM	0.3100	0.036	SOL log2fc=-0.030 adj_p=0.236
O48844	RPN2A	MEM	0.2200	0.04303	SOL log2fc=-0.100 adj_p=0.683
O48963	PHOT1	SOL	-0.4800	0.1192	MEM log2fc=-0.010 adj_p=0.869
O49006	PME3	MEM	0.9700	0.07841	SOL log2fc=0.170 adj_p=0.19
O49160	TIF3C1	SOL	-0.4400	0.0364	MEM log2fc=-0.070 adj_p=0.107
O49195	VSP1	MEM	-1.6200	0.002757	SOL log2fc=-2.490 adj_p=0.0461
O49203	NDPK3	MEM	-0.4100	0.03514	SOL log2fc=0.300 adj_p=0.166
O49290	At1g77060	MEM	0.3400	0.1464	SOL log2fc=0.020 adj_p=0.937
O49292	PPD4	MEM	1.1800	0.07434	SOL log2fc=0.390 adj_p=0.322
O49299	At1g23190	MEM	-0.1500	0.0388	SOL log2fc=0.050 adj_p=0.105
O49304	At1g23130	MEM	-0.3000	0.0092	SOL log2fc=-0.530 adj_p=0.259
O49453	At4g28440	MEM	0.5400	0.02401	SOL log2fc=-0.490 adj_p=0.0974
O49485	PGDH1	MEM	0.3000	0.2522	SOL log2fc=0.140 adj_p=0.512
O49499	CCOAOMT1	MEM	0.4300	0.1329	SOL log2fc=0.030 adj_p=0.916
O49543	NIFS1	MEM	-0.0100	0.3477	SOL log2fc=-0.040 adj_p=0.376
O49562	RP1	MEM	-0.8900	0.01943	SOL log2fc=-0.430 adj_p=0.0489
O49627	ISU1	MEM	-0.5100	0.04218	SOL log2fc=0.690 adj_p=0.106
O49629	PAP2	MEM	-0.3400	0.07149	SOL log2fc=-0.140 adj_p=0.234
O49675	CCD4	MEM	-0.4200	0.04301	SOL log2fc=-0.790 adj_p=0.0578
O50008	MS1	MEM	0.5000	0.02231	SOL log2fc=0.040 adj_p=0.892
O64490	EIF2	MEM	0.4300	0.02806	SOL log2fc=-0.110 adj_p=0.451
O64517	AMC4	MEM	0.2500	0.05955	SOL log2fc=-0.010 adj_p=0.627
O64640	CXE8	MEM	-0.7600	0.02602	SOL log2fc=0.240 adj_p=0.515
O64644	At2g45640	MEM	-0.7400	0.03634	SOL log2fc=-0.210 adj_p=0.281
O64691	CCP1	MEM	-0.3000	0.05576	SOL log2fc=0.090 adj_p=0.773
O64696	At2g34510	MEM	-0.5200	0.04751	SOL log2fc=-0.450 adj_p=0.109
O64730	At2g30170	MEM	-0.6900	0.004851	SOL log2fc=-0.170 adj_p=0.672
O64740	SEC13B	MEM	0.2700	0.08095	SOL log2fc=-0.240 adj_p=0.108
O64760	At2g34970	SOL	-0.3300	0.1625	MEM log2fc=0.060 adj_p=0.774
O64764	At2g35010	MEM	1.3500	0.009761	SOL log2fc=0.090 adj_p=0.444
O64767	At2g35040	MEM	0.0600	0.5322	SOL log2fc=0.050 adj_p=0.795
O64768	At2g35050	MEM	0.3200	0.03027	SOL log2fc=-0.270 adj_p=0.422
O64835	YCF37	MEM	-1.3200	0.02253	SOL log2fc=0.090 adj_p=0.727
O64858	At2g44230	SOL	-0.1000	0.3494	MEM log2fc=-0.090 adj_p=0.356
O64864	LTPG13	MEM	0.1400	0.2065	SOL log2fc=-0.170 adj_p=0.597
O64866	At2g44310	MEM	-0.2100	0.3052	SOL log2fc=0.050 adj_p=0.859
O64888	PRS5	MEM	-0.3100	0.1089	SOL log2fc=0.020 adj_p=0.62
O65041	ECR1	MEM	-0.5000	0.02096	SOL log2fc=-0.140 adj_p=0.285
O65202	ACX1	SOL	0.1800	0.1421	MEM log2fc=-0.190 adj_p=0.248
O65271	FOLD4	MEM	-0.2800	0.04792	SOL log2fc=0.170 adj_p=0.209
O65282	CPN20	MEM	0.8300	0.1322	SOL log2fc=0.110 adj_p=0.987
O65351	SBT1.7	SOL	1.0000	0.07303	MEM log2fc=0.310 adj_p=0.0887
O65370	At1g12080	SOL	1.5300	0.02501	MEM log2fc=0.940 adj_p=0.036
O65398	GLX1	SOL	0.2700	0.03202	MEM log2fc=0.150 adj_p=0.526
O65423	F18E5.200	SOL	0.2300	0.04206	MEM log2fc=0.150 adj_p=0.114
O65449	sks4	SOL	0.2400	0.1361	MEM log2fc=0.070 adj_p=0.342
O65502	HCF244	MEM	0.2900	0.2934	SOL log2fc=-0.130 adj_p=0.504
O65570	VLN4	MEM	0.4900	0.01097	SOL log2fc=-0.120 adj_p=0.416
O65572	CCD1	MEM	-0.3500	0.02147	SOL log2fc=-0.410 adj_p=0.0818
O65581	FBA5	SOL	-0.7700	0.03228	MEM log2fc=-0.110 adj_p=0.811
O65639	CSP1	SOL	-0.1200	0.1982	MEM log2fc=-0.020 adj_p=0.293
O65655	At4g39680	MEM	0.6300	0.03101	SOL log2fc=-0.530 adj_p=0.258
O65660	PLAT1	MEM	-0.7300	0.03997	SOL log2fc=0.010 adj_p=0.911
O65719	HSP70-3	MEM	0.3500	0.02165	SOL log2fc=-0.290 adj_p=0.109
O65896	CDA1	MEM	0.2500	0.04461	SOL log2fc=0.380 adj_p=0.2
O80397	MKK4	MEM	-0.5300	0.05135	SOL log2fc=-0.190 adj_p=0.487
O80448	PDX11	MEM	0.4700	0.005245	SOL log2fc=-0.240 adj_p=0.106
O80456	At2g23390	MEM	-0.9900	0.004283	SOL log2fc=-0.600 adj_p=0.0482
O80477	MES3	SOL	0.3200	0.1509	MEM log2fc=0.070 adj_p=0.392
O80480	IMPA4	MEM	-0.4900	0.02412	SOL log2fc=0.040 adj_p=0.96
O80501	RABH1B	MEM	0.3000	0.1445	SOL log2fc=0.100 adj_p=0.302
O80504	CPN10-2	SOL	-0.0800	0.7589	MEM log2fc=-0.130 adj_p=0.898
O80526	ACLA-3	MEM	-0.2300	0.03138	SOL log2fc=0.070 adj_p=0.737
O80574	DAPB1	MEM	0.6400	0.07602	SOL log2fc=0.080 adj_p=0.431
O80575	At2g44050	SOL	0.3300	0.1798	MEM log2fc=0.060 adj_p=0.833
O80576	late	MEM	0.6900	0.008402	SOL log2fc=-0.010 adj_p=0.954
O80585	MTHFR2	MEM	0.1900	0.03641	SOL log2fc=-0.240 adj_p=0.0403
O80653	SKIP	MEM	-0.9900	0.009329	SOL log2fc=-0.070 adj_p=0.551
O80763	At1g60420	MEM	-0.1600	0.09819	SOL log2fc=-0.390 adj_p=0.12
O80837	DBP	MEM	0.6900	0.08914	SOL log2fc=-0.220 adj_p=0.394
O80840	PMM	MEM	0.3700	0.05011	SOL log2fc=-0.180 adj_p=0.0799
O80852	GSTF9	SOL	-0.4700	0.1555	MEM log2fc=-0.040 adj_p=0.864
O80858	At2g30930	MEM	2.4400	0.007775	SOL log2fc=0.710 adj_p=0.0799
O80910	TOL6	MEM	0.8000	0.02053	SOL log2fc=-0.690 adj_p=0.169
O80925	AGD7	MEM	-0.2600	0.05568	SOL log2fc=-0.570 adj_p=0.0843
O80929	RPL36A	MEM	-0.7900	0.008402	SOL log2fc=0.270 adj_p=0.219
O80934	At2g37660	MEM	-0.1700	0.3957	SOL log2fc=-0.110 adj_p=0.434
O80950	JAL22	MEM	0.5200	0.008445	SOL log2fc=0.470 adj_p=0.0569
O80977	VSR3	MEM	-0.4500	0.02242	SOL log2fc=0.200 adj_p=0.319
O80988	GLDP2	MEM	-0.7300	0.02989	SOL log2fc=-0.280 adj_p=0.106
O81014	ISPE	SOL	-0.2300	0.08335	MEM log2fc=-0.420 adj_p=0.192
O81027	HMGCL	SOL	0.0800	0.1141	MEM log2fc=0.020 adj_p=0.776
O81098	NRPB5A	MEM	-0.6500	0.009819	SOL log2fc=-0.220 adj_p=0.18
O81146	PAA1	MEM	1.1500	0.03093	SOL log2fc=0.250 adj_p=0.247
O81147	PAA2	MEM	0.6700	0.021	SOL log2fc=-0.020 adj_p=0.484
O81148	PAC1	MEM	1.2200	0.006685	SOL log2fc=0.010 adj_p=0.854
O81149	PAE1	MEM	0.5800	0.07396	SOL log2fc=0.110 adj_p=0.0927
O81283	TOC159	SOL	-0.4100	0.0236	MEM log2fc=0.140 adj_p=0.143
O81439	PAP1	MEM	0.4000	0.03127	SOL log2fc=-0.180 adj_p=0.143
O81493	F9D12.8	MEM	1.0000	0.004818	SOL log2fc=0.750 adj_p=0.0388
O81629	KLCR1	SOL	-0.4100	0.07832	MEM log2fc=0.110 adj_p=0.487
O81644	VLN2	MEM	0.6000	0.005373	SOL log2fc=-0.210 adj_p=0.189
O81645	VLN3	MEM	1.1200	0.01578	SOL log2fc=-0.240 adj_p=0.159
O81716	PPC4-2	MEM	0.4500	0.02541	SOL log2fc=-0.220 adj_p=0.142
O81826	At4g27230	SOL	0.2100	0.4292	MEM log2fc=-0.150 adj_p=0.553
O81852	AKHSDH2	MEM	-0.4800	0.004436	SOL log2fc=-0.230 adj_p=0.096
O81862	ChiC	MEM	1.5500	0.01022	SOL log2fc=1.410 adj_p=0.141
O81884	LGALDH	MEM	0.1000	0.2776	SOL log2fc=-0.080 adj_p=0.448
O82179	GDH2	SOL	0.5300	0.06319	MEM log2fc=0.230 adj_p=0.5
O82197	VPS32.1	MEM	1.0700	0.086	SOL log2fc=-0.280 adj_p=0.637
O82204	RPL28A	MEM	1.6800	0.02075	SOL log2fc=-0.140 adj_p=0.431
O82230	STIC2	SOL	-0.0700	0.3654	MEM log2fc=-0.110 adj_p=0.798
O82233	EIF(ISO)4G2	SOL	-0.4900	0.07816	MEM log2fc=-0.320 adj_p=0.0999
O82290	SKL2	MEM	0.0500	0.4373	SOL log2fc=0.130 adj_p=0.509
O82291	PAP3	MEM	-0.9800	0.03407	SOL log2fc=-0.370 adj_p=0.0436
O82299	At2g35410	SOL	-0.3600	0.1632	MEM log2fc=-0.130 adj_p=0.774
O82314	At2g25830	MEM	-0.4600	0.1866	SOL log2fc=-0.040 adj_p=0.553
O82326	At2g14880	SOL	-0.2500	0.2932	MEM log2fc=-0.210 adj_p=0.551
O82399	PMDH1	SOL	0.2100	0.2536	MEM log2fc=-0.010 adj_p=0.966
O82413	At3g46100	SOL	-0.2700	0.214	MEM log2fc=-0.020 adj_p=0.581
O82462	At5g26710	SOL	-0.3100	0.05461	MEM log2fc=0.140 adj_p=0.179
O82487	T12H20.10	MEM	0.5900	0.1234	SOL log2fc=0.120 adj_p=0.321
O82514	ADK1	MEM	-0.1700	0.07617	SOL log2fc=0.390 adj_p=0.182
O82597	PPA5	MEM	-0.1000	0.2234	SOL log2fc=0.200 adj_p=0.293
O82628	VHA-G1	SOL	0.2400	0.5962	MEM log2fc=0.040 adj_p=0.691
O82629	VHA-G2	MEM	1.6100	0.003126	SOL log2fc=0.600 adj_p=0.376
O82656	PTP1	MEM	-0.1100	0.2032	SOL log2fc=-0.040 adj_p=0.456
O82659	CML20	MEM	1.3900	0.007892	SOL log2fc=0.060 adj_p=0.772
O82662	At2g20420	SOL	0.0600	0.7185	MEM log2fc=-0.080 adj_p=0.857
O82663	SDH1-1	MEM	0.1300	0.2878	SOL log2fc=0.040 adj_p=0.58
O82762	At2g25970	SOL	-0.0500	0.04535	MEM log2fc=-0.430 adj_p=0.168
O82782	HISN3	MEM	0.3700	0.1615	SOL log2fc=-0.030 adj_p=0.378
P06525	ADH1	MEM	0.6300	0.01445	SOL log2fc=0.700 adj_p=0.0782
P09468	atpE	MEM	0.7600	0.004702	SOL log2fc=-0.320 adj_p=0.216
P0CJ46	ACT1	SOL	-0.1300	0.2199	MEM log2fc=-0.030 adj_p=0.829
P0CZ23	ACX3	MEM	0.1400	0.1732	SOL log2fc=-0.130 adj_p=0.424
P0DH99	A1	MEM	1.4600	0.004122	SOL log2fc=0.170 adj_p=0.263
P0DI79	At3g28300	MEM	-0.2500	0.05986	SOL log2fc=0.090 adj_p=0.421
P0DKC4	PGLP1B	MEM	-0.7100	0.1357	SOL log2fc=0.060 adj_p=0.603
P0DKL6	SAP130B	MEM	-0.4700	0.04487	SOL log2fc=-0.120 adj_p=0.156
P10795	RBCS-1A	SOL	-0.4800	0.01263	MEM log2fc=0.120 adj_p=0.781
P10798	RBCS-3B	SOL	-0.5900	0.01798	MEM log2fc=0.020 adj_p=0.558
P10896	RCA	SOL	-0.3600	0.02588	MEM log2fc=0.160 adj_p=0.204
P11035	NIA2	MEM	0.5200	0.04227	SOL log2fc=-0.010 adj_p=0.626
P11139	TUBA1	MEM	-0.7800	0.007892	SOL log2fc=-0.310 adj_p=0.213
P12411	TUBB1	MEM	1.5300	0.003642	SOL log2fc=0.050 adj_p=0.393
P14671	TSB1	SOL	-0.2100	0.09602	MEM log2fc=0.490 adj_p=0.101
P15455	CRA1	MEM	2.2900	0.004122	SOL log2fc=1.780 adj_p=0.212
P16127	CHLI1	MEM	-0.3700	0.007892	SOL log2fc=-0.090 adj_p=0.264
P16180	RPS17	MEM	0.6200	0.0374	SOL log2fc=-0.180 adj_p=0.0527
P16181	RPS11A	MEM	0.1200	0.1177	SOL log2fc=-0.060 adj_p=0.249
P17094	ARP1	MEM	-0.1100	0.2456	SOL log2fc=0.150 adj_p=0.951
P17562	SAM2	SOL	0.4100	0.1876	MEM log2fc=0.060 adj_p=0.627
P17597	ALS	MEM	-0.3100	0.07463	SOL log2fc=-0.110 adj_p=0.266
P17745	TUFA	SOL	0.2300	0.1359	MEM log2fc=-0.080 adj_p=0.217
P18612	KIN1	MEM	1.6200	0.02278	SOL log2fc=1.860 adj_p=0.0849
P18616	NRPB1	MEM	-0.7100	0.01108	SOL log2fc=-0.390 adj_p=0.067
P19366	atpB	SOL	-0.3100	0.02457	MEM log2fc=0.670 adj_p=0.083
P20115	CSY4	MEM	0.2300	0.08847	SOL log2fc=-0.010 adj_p=0.896
P21218	PORB	MEM	-0.9000	0.004283	SOL log2fc=-0.520 adj_p=0.037
P21238	CPN60A1	SOL	-0.1100	0.2545	MEM log2fc=-0.090 adj_p=0.969
P21240	CPN60B1	SOL	-0.1700	0.1608	MEM log2fc=0.170 adj_p=0.278
P21276	FSD1	SOL	0.9900	0.0354	MEM log2fc=0.800 adj_p=0.162
P22953	HSP70-1	MEM	0.4900	0.007283	SOL log2fc=-0.190 adj_p=0.12
P22954	HSP70-2	MEM	0.3500	0.129	SOL log2fc=0.070 adj_p=0.372
P23321	PSBO1	SOL	0.0900	0.5858	MEM log2fc=-0.030 adj_p=0.862
P23686	SAM1	SOL	0.3100	0.1295	MEM log2fc=-0.040 adj_p=0.911
P24636	TUBB4	MEM	0.6100	0.003387	SOL log2fc=0.180 adj_p=0.0975
P24806	XTH24	MEM	0.6200	0.02897	SOL log2fc=0.370 adj_p=0.0985
P25696	ENO2	MEM	0.8800	0.01479	SOL log2fc=0.210 adj_p=0.0369
