TAIR	log2FC_FLT_vs_GC	pvalue	padj	mean_FLT	mean_GC	n_FLT	n_GC
AT5G08050	-0.410984	0.003199	0.703002	6.590748	7.001732	5	5
AT2G34600	2.730008	0.003206	0.703002	6.250925	3.520918	5	5
AT5G23210	0.435356	0.003223	0.703002	4.575328	4.139972	5	5
AT5G67420	0.569819	0.003236	0.703002	7.488692	6.918873	5	5
AT1G03710	-0.144807	0.003284	0.703002	2.172929	2.317736	5	5
AT3G26690	0.256690	0.003319	0.703002	5.449494	5.192804	5	5
AT5G18370	-0.306663	0.003333	0.703002	2.296747	2.603411	5	5
AT1G61870	-0.456040	0.003342	0.703002	5.903664	6.359704	5	5
AT5G43480	-0.178981	0.003345	0.703002	1.827015	2.005996	5	5
AT2G43090	-0.350689	0.003365	0.703002	7.271978	7.622667	5	5
AT3G54290	0.331611	0.003422	0.703002	6.249517	5.917907	5	5
AT4G38620	1.297589	0.003462	0.703002	6.735511	5.437923	5	5
AT5G17510	-0.328122	0.003534	0.703002	2.873156	3.201278	5	5
AT4G15530	0.578438	0.003544	0.703002	4.978524	4.400086	5	5
AT1G02270	-0.219607	0.003547	0.703002	5.394998	5.614605	5	5
AT2G44065	-0.228004	0.003548	0.703002	7.781236	8.009241	5	5
AT4G31580	-0.462064	0.003558	0.703002	7.899459	8.361523	5	5
AT5G60960	-0.218876	0.003572	0.703002	6.159743	6.378619	5	5
AT1G19970	0.394003	0.003600	0.703002	5.278009	4.884006	5	5
AT1G17050	-0.450092	0.003640	0.703002	4.038841	4.488932	5	5
AT1G78300	-0.459546	0.003668	0.703002	7.929372	8.388918	5	5
AT2G36580	-0.451375	0.003692	0.703002	7.154876	7.606251	5	5
AT2G39400	0.595865	0.003737	0.703002	3.859050	3.263185	5	5
AT5G01450	-0.394418	0.003805	0.703002	3.372233	3.766651	5	5
AT5G01660	-0.254470	0.003842	0.703002	4.282942	4.537412	5	5
AT4G18480	-0.389111	0.003869	0.703002	6.940947	7.330058	5	5
AT4G30270	0.824137	0.003997	0.703002	8.178711	7.354574	5	5
AT1G69295	-0.480997	0.004056	0.703002	6.746543	7.227540	5	5
AT4G01700	-0.985551	0.004170	0.703002	6.843089	7.828640	5	5
AT2G17630	-0.409978	0.004174	0.703002	5.769177	6.179155	5	5
AT1G08970	-0.168571	0.004183	0.703002	7.532027	7.700598	5	5
AT2G14050	-0.365882	0.004198	0.703002	2.706869	3.072751	5	5
AT1G36310	-0.292727	0.004198	0.703002	6.455574	6.748301	5	5
AT3G62100	-0.438062	0.004214	0.703002	4.698942	5.137004	5	5
AT5G49150	-0.358879	0.004234	0.703002	2.384987	2.743866	5	5
AT2G04020	0.213009	0.004270	0.703002	2.034566	1.821557	5	5
AT1G22300	-0.269715	0.004285	0.703002	10.074052	10.343767	5	5
AT5G17050	-0.987662	0.004307	0.703002	6.284706	7.272369	5	5
ATCG00700	0.397773	0.004351	0.703002	6.568440	6.170668	5	5
AT4G33680	-0.315152	0.004359	0.703002	8.240025	8.555177	5	5
AT2G16720	1.457067	0.004380	0.703002	7.554444	6.097377	5	5
AT4G17260	-0.496034	0.004393	0.703002	7.633946	8.129980	5	5
AT1G56150	0.539957	0.004410	0.703002	4.514761	3.974804	5	5
AT3G62220	-0.334561	0.004477	0.703002	5.511765	5.846327	5	5
AT5G14250	-0.412612	0.004520	0.703002	6.476758	6.889370	5	5
AT1G71690	-0.738622	0.004540	0.703002	6.103704	6.842326	5	5
AT5G43530	-0.333833	0.004634	0.703002	2.385629	2.719462	5	5
AT3G20280	-0.322036	0.004640	0.703002	3.282260	3.604296	5	5
AT2G47420	0.213867	0.004723	0.703002	6.689873	6.476006	5	5
AT2G14830	0.188831	0.004777	0.703002	2.081534	1.892702	5	5
AT4G09460	1.134490	0.004830	0.703002	5.855274	4.720784	5	5
AT1G57770	-0.377950	0.004849	0.703002	3.047864	3.425814	5	5
AT5G66510	-0.428131	0.004873	0.703002	8.820711	9.248842	5	5
AT1G60320	0.190305	0.004973	0.703002	2.228967	2.038661	5	5
AT1G06160	1.230759	0.005007	0.703002	5.059445	3.828686	5	5
AT3G56290	-1.160951	0.005019	0.703002	4.460050	5.621001	5	5
AT1G57620	-0.207486	0.005032	0.703002	6.780584	6.988070	5	5
AT1G62480	-0.318979	0.005104	0.703002	10.923916	11.242895	5	5
AT4G08520	-0.403783	0.005108	0.703002	6.208476	6.612259	5	5
AT5G50340	0.223739	0.005124	0.703002	5.610126	5.386387	5	5
AT2G40475	-0.224280	0.005150	0.703002	4.125329	4.349609	5	5
AT2G29440	-0.435829	0.005253	0.703002	7.037533	7.473362	5	5
AT3G56710	0.705218	0.005342	0.703002	6.884621	6.179403	5	5
AT3G04500	-0.235158	0.005377	0.703002	6.076049	6.311207	5	5
AT2G27810	0.177388	0.005382	0.703002	5.569470	5.392082	5	5
AT2G48010	0.726813	0.005387	0.703002	7.800937	7.074125	5	5
AT1G57540	0.260494	0.005390	0.703002	7.044560	6.784066	5	5
AT4G28660	-0.493051	0.005395	0.703002	5.743157	6.236207	5	5
AT3G04650	-0.251758	0.005448	0.703002	2.953598	3.205356	5	5
AT5G20040	0.293865	0.005449	0.703002	4.677421	4.383556	5	5
AT1G21140	-0.828909	0.005455	0.703002	5.405841	6.234750	5	5
AT2G46520	-0.396865	0.005464	0.703002	5.579009	5.975873	5	5
AT3G23690	0.199055	0.005467	0.703002	7.403714	7.204659	5	5
AT5G09570	0.490285	0.005473	0.703002	3.362529	2.872243	5	5
AT1G18080	-0.345149	0.005473	0.703002	9.952106	10.297255	5	5
AT3G57710	-0.345518	0.005513	0.703002	4.077035	4.422554	5	5
AT2G34450	-0.260289	0.005538	0.703002	3.438033	3.698321	5	5
AT5G47880	-0.562900	0.005548	0.703002	5.444469	6.007369	5	5
AT5G57620	0.449723	0.005578	0.703002	3.571825	3.122102	5	5
AT1G08920	0.502711	0.005585	0.703002	7.336160	6.833449	5	5
