uniprot	log2fc	pvalue	adj_p	gene_name	fraction	description	significant
F4KHF4	0.56	0.017052603	0.040728636	KASI	MEM	Beta-ketoacyl-[acyl-carrier-protein] synthase I OS=Arabidopsis thaliana OX=3702 GN=KASI PE=1 SV=1	True
F4KHG6	-0.26	0.061622921	0.150211339	CTPA1	SOL	Carboxyl-terminal-processing peptidase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CTPA1 PE=1 SV=1	False
F4KHJ7	-0.02	0.963766159	0.969197687	adaptor	MEM	Clathrin adaptor complexes medium subunit family protein OS=Arabidopsis thaliana OX=3702 GN=adaptor protein-2 mu-adaptin PE=1 SV=1	False
F4KHS2	0.54	0.079161377	0.171624446	SBT4.12	SOL	Subtilase 4.12 OS=Arabidopsis thaliana OX=3702 GN=SBT4.12 PE=1 SV=1	False
F4KHU8	-0.21	0.048828092	0.084091819	UXS3	MEM	UDP-glucuronate decarboxylase OS=Arabidopsis thaliana OX=3702 GN=UXS3 PE=1 SV=1	False
F4KIB2	-0.75	0.001279838	0.010360218	TMN8	MEM	Transmembrane 9 superfamily member 8 OS=Arabidopsis thaliana OX=3702 GN=TMN8 PE=2 SV=1	True
F4KIH8	-0.67	0.048836273	0.132301255	MXC17.10	SOL	Transducin/WD40 repeat-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MXC17.10 PE=1 SV=1	False
F4KII6	-1.37	0.002708322	0.014785848	VSP2	MEM	Vegetative storage protein 2 OS=Arabidopsis thaliana OX=3702 GN=VSP2 PE=1 SV=1	True
F4KIJ2	-0.45	0.046208152	0.080822955	At5g24810	MEM	ABC1 family protein OS=Arabidopsis thaliana OX=3702 GN=At5g24810 PE=1 SV=1	False
O03042	-0.65	0.000749448	0.025005634	rbcL	SOL	Ribulose bisphosphate carboxylase large chain OS=Arabidopsis thaliana OX=3702 GN=rbcL PE=1 SV=1	True
O03983	0.39	0.027432899	0.098509147	LEA14	SOL	Probable desiccation-related protein LEA14 OS=Arabidopsis thaliana OX=3702 GN=LEA14 PE=1 SV=1	False
O03986	-0.41	0.017543873	0.041379494	HSP90-4	MEM	Heat shock protein 90-4 OS=Arabidopsis thaliana OX=3702 GN=HSP90-4 PE=1 SV=1	True
O04005	3.35	0.000155591	0.017518085	PER1	SOL	1-Cys peroxiredoxin PER1 OS=Arabidopsis thaliana OX=3702 GN=PER1 PE=2 SV=1	True
O04023	-0.11	0.45323011	0.514211274	SRC2	MEM	Protein SRC2 homolog OS=Arabidopsis thaliana OX=3702 GN=SRC2 PE=1 SV=1	False
O04086	0.23	0.581240588	0.635541686	At1g11050	MEM	Probable receptor-like protein kinase At1g11050 OS=Arabidopsis thaliana OX=3702 GN=At1g11050 PE=2 SV=1	False
O04130	-0.75	0.00120279	0.010216866	PGDH2	MEM	D-3-phosphoglycerate dehydrogenase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PGDH2 PE=1 SV=2	True
O04147	-0.22	0.132816285	0.236781264	At4g18930	SOL	Cyclic phosphodiesterase OS=Arabidopsis thaliana OX=3702 GN=At4g18930 PE=1 SV=1	False
O04151	-0.5	0.019845791	0.044872734	CRT1	MEM	Calreticulin-1 OS=Arabidopsis thaliana OX=3702 GN=CRT1 PE=1 SV=1	True
O04153	-0.63	0.001545178	0.011369233	CRT3	MEM	Calreticulin-3 OS=Arabidopsis thaliana OX=3702 GN=CRT3 PE=1 SV=2	True
O04157	0.71	0.000999902	0.009665573	RABG3B	MEM	Ras-related protein RABG3b OS=Arabidopsis thaliana OX=3702 GN=RABG3B PE=1 SV=1	True
O04196	-0.61	0.010717898	0.064385366	ISA1	SOL	Isoamylase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ISA1 PE=1 SV=1	False
O04200	-0.46	0.002620376	0.014581528	PXN	MEM	Peroxisomal nicotinamide adenine dinucleotide carrier OS=Arabidopsis thaliana OX=3702 GN=PXN PE=1 SV=1	True
O04202	-0.36	0.002738178	0.03962696	TIF3F1	SOL	Eukaryotic translation initiation factor 3 subunit F OS=Arabidopsis thaliana OX=3702 GN=TIF3F1 PE=1 SV=1	True
O04209	0.38	0.030720261	0.060076469	CLC2	MEM	Clathrin light chain 2 OS=Arabidopsis thaliana OX=3702 GN=CLC2 PE=1 SV=1	False
O04265	-0.63	0.003387504	0.016559547	T22D6_100	MEM	AT5g08160 OS=Arabidopsis thaliana OX=3702 GN=T22D6_100 PE=1 SV=1	True
O04308	-0.29	0.028951532	0.057884378	MPPalpha2	MEM	Probable mitochondrial-processing peptidase subunit alpha-2, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=MPPalpha2 PE=1 SV=1	False
O04309	0.42	0.052699683	0.088946268	JAL35	MEM	Jacalin-related lectin 35 OS=Arabidopsis thaliana OX=3702 GN=JAL35 PE=1 SV=1	False
O04310	1.37	0.000222846	0.005138733	JAL34	MEM	Jacalin-related lectin 34 OS=Arabidopsis thaliana OX=3702 GN=JAL34 PE=1 SV=1	True
O04311	0.77	0.000990083	0.027148746	JAL33	SOL	Jacalin-related lectin 33 OS=Arabidopsis thaliana OX=3702 GN=JAL33 PE=1 SV=1	True
O04313	1.06	0.000495189	0.007316043	PBP2	MEM	PYK10-binding protein 2 OS=Arabidopsis thaliana OX=3702 GN=PBP2 PE=1 SV=1	True
O04314	1.57	0.000999043	0.009665573	PBP1	MEM	PYK10-binding protein 1 OS=Arabidopsis thaliana OX=3702 GN=PBP1 PE=1 SV=1	True
O04316	0.79	0.001141259	0.00999597	NSP4	MEM	Nitrile-specifier protein 4 OS=Arabidopsis thaliana OX=3702 GN=NSP4 PE=2 SV=1	True
O04318	-2.33	0.000301588	0.006026554	NSP3	MEM	Nitrile-specifier protein 3 OS=Arabidopsis thaliana OX=3702 GN=NSP3 PE=2 SV=1	True
O04331	-0.62	0.012487198	0.033919238	PHB3	MEM	Prohibitin-3, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=PHB3 PE=1 SV=1	True
O04350	0.55	0.293422716	0.401921513	TFCA	SOL	Tubulin-folding cofactor A OS=Arabidopsis thaliana OX=3702 GN=TFCA PE=1 SV=2	False
O04373	-0.3	0.003660531	0.042160844	ILL4	SOL	IAA-amino acid hydrolase ILR1-like 4 OS=Arabidopsis thaliana OX=3702 GN=ILL4 PE=1 SV=2	True
O04379	-0.14	0.027163627	0.097915347	AGO1	SOL	Protein argonaute 1 OS=Arabidopsis thaliana OX=3702 GN=AGO1 PE=1 SV=1	False
O04420	0.16	0.089372027	0.184274011	At2g26230	SOL	Uricase OS=Arabidopsis thaliana OX=3702 GN=At2g26230 PE=1 SV=2	False
O04450	0.41	0.005461969	0.021775726	CCT5	MEM	T-complex protein 1 subunit epsilon OS=Arabidopsis thaliana OX=3702 GN=CCT5 PE=1 SV=1	True
O04482	1.85	0.001247556	0.010275314	UCH2	MEM	Ubiquitin carboxyl-terminal hydrolase 2 OS=Arabidopsis thaliana OX=3702 GN=UCH2 PE=1 SV=1	True
O04486	1.97	0.000722435	0.008402232	RABA2A	MEM	Ras-related protein RABA2a OS=Arabidopsis thaliana OX=3702 GN=RABA2A PE=2 SV=1	True
O04487	0.68	4.65149e-06	0.002757313	At1g09640	MEM	Probable elongation factor 1-gamma 1 OS=Arabidopsis thaliana OX=3702 GN=At1g09640 PE=1 SV=1	True
O04496	0.09	0.165510148	0.269302804	AED3	SOL	Aspartyl protease AED3 OS=Arabidopsis thaliana OX=3702 GN=AED3 PE=1 SV=1	False
O04499	0.04	0.085380504	0.129688274	PGM1	MEM	2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1 OS=Arabidopsis thaliana OX=3702 GN=PGM1 PE=1 SV=3	False
O04567	-0.39	0.035043692	0.066191266	At1g27190	MEM	Probable inactive receptor kinase At1g27190 OS=Arabidopsis thaliana OX=3702 GN=At1g27190 PE=1 SV=1	False
O04603	0.63	0.000842578	0.009062587	RPL5	MEM	50S ribosomal protein L5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RPL5 PE=2 SV=1	True
O04616	-1.31	0.002850231	0.015066667	CURT1A	MEM	Protein CURVATURE THYLAKOID 1A, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CURT1A PE=1 SV=1	True
O04619	-0.65	0.005739298	0.02244426	ADNT1	MEM	Mitochondrial adenine nucleotide transporter ADNT1 OS=Arabidopsis thaliana OX=3702 GN=ADNT1 PE=1 SV=1	True
O04630	0.38	0.020156223	0.045342964	THRRS	MEM	Threonine--tRNA ligase, mitochondrial 1 OS=Arabidopsis thaliana OX=3702 GN=THRRS PE=1 SV=3	True
O04658	-0.25	0.060353305	0.098726151	NOP5-1	MEM	Probable nucleolar protein 5-1 OS=Arabidopsis thaliana OX=3702 GN=NOP5-1 PE=1 SV=2	False
O04663	-0.16	0.91954357	0.937796265	EIF(ISO)4E	SOL	Eukaryotic translation initiation factor isoform 4E OS=Arabidopsis thaliana OX=3702 GN=EIF(ISO)4E PE=1 SV=2	False
O04904	0.19	0.159531507	0.214827749	PYR4	MEM	Dihydroorotase, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=PYR4 PE=1 SV=1	False
O04905	-0.18	0.041221564	0.074469673	UMK3	MEM	UMP-CMP kinase 3 OS=Arabidopsis thaliana OX=3702 GN=UMK3 PE=1 SV=1	False
O04922	0.37	0.000101114	0.004249764	GPX2	MEM	Probable glutathione peroxidase 2 OS=Arabidopsis thaliana OX=3702 GN=GPX2 PE=1 SV=1	True
O04928	-0.79	0.001898662	0.012557739	CDS1	MEM	Phosphatidate cytidylyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=CDS1 PE=1 SV=1	True
O04983	0.39	0.047972675	0.083034097	CAC2	MEM	Biotin carboxylase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CAC2 PE=1 SV=1	False
O22100	0.73	0.00258581	0.014450233	F16M2_110	MEM	ATMRK1 OS=Arabidopsis thaliana OX=3702 GN=F16M2_110 PE=1 SV=1	True
O22126	1.08	0.003646182	0.017029831	FLA8	MEM	Fasciclin-like arabinogalactan protein 8 OS=Arabidopsis thaliana OX=3702 GN=FLA8 PE=2 SV=1	True
O22149	-0.28	0.014035099	0.03641368	PME17	MEM	Probable pectinesterase/pectinesterase inhibitor 17 OS=Arabidopsis thaliana OX=3702 GN=PME17 PE=2 SV=2	True
O22160	0.74	0.044609341	0.078733535	At2g44920	MEM	Thylakoid lumenal 15 kDa protein 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At2g44920 PE=1 SV=2	False
O22173	0.61	0.009729362	0.029820239	PAB4	MEM	Polyadenylate-binding protein 4 OS=Arabidopsis thaliana OX=3702 GN=PAB4 PE=1 SV=1	True
O22203	-0.48	0.015087867	0.037843872	CYP98A3	MEM	Cytochrome P450 98A3 OS=Arabidopsis thaliana OX=3702 GN=CYP98A3 PE=1 SV=1	True
O22218	0.26	0.151899722	0.206458514	ACA4	MEM	Calcium-transporting ATPase 4, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=ACA4 PE=1 SV=1	False
O22229	-0.08	0.028985942	0.101314457	NTRC	SOL	NADPH-dependent thioredoxin reductase 3 OS=Arabidopsis thaliana OX=3702 GN=NTRC PE=1 SV=2	False
O22263	-0.05	0.121690768	0.172074302	PDIL2-1	MEM	Protein disulfide-isomerase like 2-1 OS=Arabidopsis thaliana OX=3702 GN=PDIL2-1 PE=2 SV=1	False
O22265	0.76	0.04619256	0.080822955	CAO	MEM	Signal recognition particle 43 kDa protein, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CAO PE=1 SV=2	False
O22287	0.16	0.102061997	0.200694019	CYT1	SOL	Mannose-1-phosphate guanylyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=CYT1 PE=1 SV=1	False
O22315	-0.44	0.15961304	0.214906401	SR34	MEM	Serine/arginine-rich-splicing factor SR34 OS=Arabidopsis thaliana OX=3702 GN=SR34 PE=1 SV=1	False
O22446	-1.05	0.000112446	0.004282644	HDA19	MEM	Histone deacetylase 19 OS=Arabidopsis thaliana OX=3702 GN=HDA19 PE=1 SV=2	True
O22467	-0.32	0.033087677	0.108876294	MSI1	SOL	Histone-binding protein MSI1 OS=Arabidopsis thaliana OX=3702 GN=MSI1 PE=1 SV=1	False
O22469	-0.06	0.881870474	0.901068974	MSI3	MEM	WD-40 repeat-containing protein MSI3 OS=Arabidopsis thaliana OX=3702 GN=MSI3 PE=1 SV=2	False
O22476	0.17	0.359367334	0.422039762	BRI1	MEM	Protein BRASSINOSTEROID INSENSITIVE 1 OS=Arabidopsis thaliana OX=3702 GN=BRI1 PE=1 SV=1	False
O22527	-1.49	0.000305767	0.006036747	CLH1	MEM	Chlorophyllase-1 OS=Arabidopsis thaliana OX=3702 GN=CLH1 PE=1 SV=1	True
O22607	-0.36	0.014077745	0.036471838	MSI4	MEM	WD-40 repeat-containing protein MSI4 OS=Arabidopsis thaliana OX=3702 GN=MSI4 PE=1 SV=3	True
O22609	-0.48	0.056093742	0.141624765	DEGP1	SOL	Protease Do-like 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DEGP1 PE=1 SV=2	False
O22682	-0.05	0.196566242	0.303249998	CS26	SOL	S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent), chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CS26 PE=1 SV=1	False
O22683	-0.19	0.01817904	0.042276731	CYN	MEM	Cyanate hydratase OS=Arabidopsis thaliana OX=3702 GN=CYN PE=2 SV=1	True
O22704	-0.91	0.026596998	0.054876977	CB5LP	MEM	Cytochrome B5-like protein OS=Arabidopsis thaliana OX=3702 GN=CB5LP PE=2 SV=1	False
O22715	-0.42	0.024773711	0.052145436	AP1M2	MEM	AP-1 complex subunit mu-2 OS=Arabidopsis thaliana OX=3702 GN=AP1M2 PE=1 SV=1	False
O22764	-0.86	0.042028905	0.075531738	At4g02630	MEM	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g02630 PE=1 SV=1	False
O22765	-0.16	0.280637355	0.389724571	TRPA1	SOL	Tryptophan synthase alpha chain OS=Arabidopsis thaliana OX=3702 GN=TRPA1 PE=1 SV=2	False
O22769	-0.31	0.038449764	0.070980067	At4g02580	MEM	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At4g02580 PE=1 SV=3	False
O22773	0.28	0.08702022	0.182051591	At4g02530	SOL	Thylakoid lumenal 16.5 kDa protein, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At4g02530 PE=1 SV=3	False
O22775	-0.93	0.000480169	0.007255624	XXT2	MEM	Xyloglucan 6-xylosyltransferase 2 OS=Arabidopsis thaliana OX=3702 GN=XXT2 PE=1 SV=1	True
O22784	-0.2	0.135521059	0.188306998	PDLP3	MEM	Plasmodesmata-located protein 3 OS=Arabidopsis thaliana OX=3702 GN=PDLP3 PE=1 SV=2	False
O22785	-0.38	0.008417361	0.057018602	PRP19B	SOL	Pre-mRNA-processing factor 19 homolog 2 OS=Arabidopsis thaliana OX=3702 GN=PRP19B PE=1 SV=3	False
O22791	-0.5	0.113738036	0.21511513	At2g33410	SOL	Putative RNA-binding protein OS=Arabidopsis thaliana OX=3702 GN=At2g33410 PE=1 SV=1	False
O22793	-0.71	0.011731799	0.033017446	MORF2	MEM	Multiple organellar RNA editing factor 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=MORF2 PE=1 SV=1	True
O22795	-1.09	0.000999875	0.009665573	RPL28	MEM	50S ribosomal protein L28, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RPL28 PE=2 SV=2	True
O22797	-0.2	0.038811214	0.071491102	GLTP1	MEM	Glycolipid transfer protein 1 OS=Arabidopsis thaliana OX=3702 GN=GLTP1 PE=2 SV=1	False
O22808	0.23	0.086575372	0.130990709	LYK5	MEM	Protein LYK5 OS=Arabidopsis thaliana OX=3702 GN=LYK5 PE=2 SV=1	False
O22809	0.33	0.071978411	0.162822397	CRL1	SOL	NAD(P)-binding Rossmann-fold superfamily protein OS=Arabidopsis thaliana OX=3702 GN=CRL1 PE=1 SV=1	False
O22810	-0.39	0.018092393	0.081364552	CRL2	SOL	At2g33600 OS=Arabidopsis thaliana OX=3702 GN=CRL2 PE=1 SV=1	False
O22822	0.7	0.001506107	0.011166824	UGT74F2	MEM	UDP-glycosyltransferase 74F2 OS=Arabidopsis thaliana OX=3702 GN=UGT74F2 PE=1 SV=1	True
O22826	-0.02	0.722795293	0.78090896	At2g43770	SOL	At2g43770 OS=Arabidopsis thaliana OX=3702 GN=At2g43770 PE=1 SV=1	False
O22827	-0.5	0.140561412	0.244616359	MOCS2	SOL	Molybdopterin synthase catalytic subunit OS=Arabidopsis thaliana OX=3702 GN=MOCS2 PE=2 SV=1	False
O22832	-0.19	0.066266865	0.156354104	FAB2	SOL	Stearoyl-[acyl-carrier-protein] 9-desaturase 7, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FAB2 PE=1 SV=1	False
O22841	2.63	0.000767899	0.025005634	At2g43620	SOL	Endochitinase At2g43620 OS=Arabidopsis thaliana OX=3702 GN=At2g43620 PE=3 SV=1	True
O22842	0.69	0.002876013	0.015113096	At2g43610	MEM	Endochitinase At2g43610 OS=Arabidopsis thaliana OX=3702 GN=At2g43610 PE=1 SV=1	True
O22850	-0.65	0.000206643	0.005003995	GPX3	MEM	Probable glutathione peroxidase 3, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=GPX3 PE=1 SV=1	True
O22854	-0.6	0.013897998	0.036289345	ETFQO	MEM	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=ETFQO PE=2 SV=1	True
O22860	0.67	0.003595283	0.016916945	RPL38A	MEM	60S ribosomal protein L38 OS=Arabidopsis thaliana OX=3702 GN=RPL38A PE=3 SV=1	True
O22881	-1.26	0.007183394	0.025477022	POT2	MEM	Potassium transporter 2 OS=Arabidopsis thaliana OX=3702 GN=POT2 PE=1 SV=2	True
O22886	-0.19	0.049293443	0.133393872	HEME2	SOL	Uroporphyrinogen decarboxylase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=HEME2 PE=2 SV=1	False
O22898	-0.18	0.320850949	0.427930122	LACS1	SOL	Long chain acyl-CoA synthetase 1 OS=Arabidopsis thaliana OX=3702 GN=LACS1 PE=2 SV=1	False
O22899	-0.84	8.4882e-05	0.00412232	At2g47250	MEM	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH3 OS=Arabidopsis thaliana OX=3702 GN=At2g47250 PE=2 SV=1	True
O22914	-0.77	0.176608861	0.23372631	CP12-1	MEM	Calvin cycle protein CP12-1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CP12-1 PE=1 SV=1	False
O22940	1.78	0.035180859	0.112056992	At2g41800	SOL	At2g41800/T11A7.10 OS=Arabidopsis thaliana OX=3702 GN=At2g41800 PE=1 SV=1	False
O22941	-0.26	0.01588787	0.039090806	PXM16	MEM	Insulin-degrading enzyme-like 1, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=PXM16 PE=2 SV=1	True
O22957	-0.41	0.003713499	0.042388647	At2g34040	SOL	Apoptosis inhibitory protein 5 (API5) OS=Arabidopsis thaliana OX=3702 GN=At2g34040 PE=1 SV=2	True
O22993	-0.86	0.008217646	0.027361729	FTSHI1	MEM	Probable inactive ATP-dependent zinc metalloprotease FTSHI 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FTSHI1 PE=1 SV=1	True
O23006	1.07	0.006952693	0.025130836	LYM2	MEM	LysM domain-containing GPI-anchored protein 2 OS=Arabidopsis thaliana OX=3702 GN=LYM2 PE=1 SV=1	True
O23016	0.25	0.118618687	0.16909395	KAB1	MEM	Probable voltage-gated potassium channel subunit beta OS=Arabidopsis thaliana OX=3702 GN=KAB1 PE=1 SV=1	False
O23034	0.51	0.000613982	0.007891849	At1g05350	MEM	Ubiquitin-like modifier-activating enzyme 5 OS=Arabidopsis thaliana OX=3702 GN=At1g05350 PE=3 SV=2	True
O23044	1.42	0.014934956	0.074886411	PER3	SOL	Peroxidase 3 OS=Arabidopsis thaliana OX=3702 GN=PER3 PE=2 SV=1	False
O23049	0.46	0.003404269	0.016582151	RPL6	MEM	50S ribosomal protein L6, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RPL6 PE=2 SV=1	True
O23052	0.2	0.472076517	0.532210005	At1g05150	MEM	Uncharacterized TPR repeat-containing protein At1g05150 OS=Arabidopsis thaliana OX=3702 GN=At1g05150 PE=1 SV=1	False
O23087	0.32	0.195789711	0.254187452	ECA2	MEM	Calcium-transporting ATPase 2, endoplasmic reticulum-type OS=Arabidopsis thaliana OX=3702 GN=ECA2 PE=1 SV=1	False
O23095	-0.06	0.61951566	0.671467113	RPP1B	MEM	60S acidic ribosomal protein P1-2 OS=Arabidopsis thaliana OX=3702 GN=RPP1B PE=1 SV=2	False
O23138	0.19	0.137729309	0.241954255	CYTC-1	SOL	Cytochrome c-1 OS=Arabidopsis thaliana OX=3702 GN=CYTC-1 PE=1 SV=1	False
O23140	-0.58	0.014118315	0.073048551	AP2M	SOL	AP-2 complex subunit mu OS=Arabidopsis thaliana OX=3702 GN=AP2M PE=1 SV=1	False
O23144	-0.07	0.267274754	0.376301383	PPI1	SOL	Proton pump-interactor 1 OS=Arabidopsis thaliana OX=3702 GN=PPI1 PE=1 SV=2	False
O23157	0.67	0.001777111	0.012161037	C7A10.60	MEM	AT4g37300/C7A10_60 OS=Arabidopsis thaliana OX=3702 GN=C7A10.60 PE=1 SV=1	True
O23179	1.86	0.001681597	0.011838701	PLP1	MEM	Patatin-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=PLP1 PE=1 SV=2	True
O23193	0.41	0.002544571	0.038221914	CBSX1	SOL	CBS domain-containing protein CBSX1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CBSX1 PE=1 SV=2	True
O23207	1.45	0.000166535	0.00470214	At4g36750	MEM	Probable NAD(P)H dehydrogenase (quinone) FQR1-like 2 OS=Arabidopsis thaliana OX=3702 GN=At4g36750 PE=1 SV=1	True
O23212	-0.65	0.018845864	0.043211107	U2AF65A	MEM	Splicing factor U2af large subunit A OS=Arabidopsis thaliana OX=3702 GN=U2AF65A PE=1 SV=2	True
O23237	0.36	0.438397543	0.535723095	PER49	SOL	Peroxidase 49 OS=Arabidopsis thaliana OX=3702 GN=PER49 PE=2 SV=2	False
O23240	-0.5	0.0498458	0.085369889	D2HGDH	MEM	D-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=D2HGDH PE=1 SV=3	False
O23247	-0.2	0.038455447	0.116971932	EMB1027	SOL	Arginine--tRNA ligase, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=EMB1027 PE=1 SV=1	False
O23252	-0.19	0.010358762	0.063250583	EIF4E1	SOL	Eukaryotic translation initiation factor 4E-1 OS=Arabidopsis thaliana OX=3702 GN=EIF4E1 PE=1 SV=1	False
O23254	0.56	0.000723236	0.008402232	SHM4	MEM	Serine hydroxymethyltransferase 4 OS=Arabidopsis thaliana OX=3702 GN=SHM4 PE=1 SV=1	True
O23255	0.47	0.030917441	0.060350541	SAHH1	MEM	Adenosylhomocysteinase 1 OS=Arabidopsis thaliana OX=3702 GN=SAHH1 PE=1 SV=1	False
O23264	1.08	1.8736e-05	0.003285165	SBP1	MEM	Selenium-binding protein 1 OS=Arabidopsis thaliana OX=3702 GN=SBP1 PE=1 SV=1	True
O23290	0.82	0.057001975	0.14266813	RPL36AA	SOL	60S ribosomal protein L36a OS=Arabidopsis thaliana OX=3702 GN=RPL36AA PE=3 SV=3	False
O23310	-0.21	0.085052757	0.179451175	NFYB3	SOL	Nuclear transcription factor Y subunit B-3 OS=Arabidopsis thaliana OX=3702 GN=NFYB3 PE=1 SV=1	False
O23342	-0.34	0.034394139	0.065322857	SECE1	MEM	Preprotein translocase subunit SECE1 OS=Arabidopsis thaliana OX=3702 GN=SECE1 PE=1 SV=1	False
O23344	0.15	0.097163127	0.194091182	FDC1	SOL	Ferredoxin C 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FDC1 PE=1 SV=1	False
O23365	-0.31	0.009637522	0.029616631	CYP97B3	MEM	Cytochrome P450 97B3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CYP97B3 PE=1 SV=2	True
O23392	0.4	0.071378396	0.112617901	dl3740c	MEM	HSR201-like protein OS=Arabidopsis thaliana OX=3702 GN=dl3740c PE=1 SV=1	False
O23401	-0.13	0.155173719	0.21023901	UGT84A3	MEM	UDP-glycosyltransferase 84A3 OS=Arabidopsis thaliana OX=3702 GN=UGT84A3 PE=1 SV=1	False
O23403	-0.09	0.021797338	0.088489757	PPD1	SOL	PsbP domain-containing protein 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PPD1 PE=1 SV=1	False
O23404	0.82	0.000737006	0.008445123	PPDK	MEM	Pyruvate, phosphate dikinase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PPDK PE=1 SV=2	True
O23406	0.72	0.000946981	0.009460664	UGT75D1	MEM	UDP-glycosyltransferase 75D1 OS=Arabidopsis thaliana OX=3702 GN=UGT75D1 PE=2 SV=2	True
O23429	-0.35	0.0685357	0.109077284	VAMP724	MEM	Vesicle-associated membrane protein 724 OS=Arabidopsis thaliana OX=3702 GN=VAMP724 PE=2 SV=2	False
O23461	-0.47	0.012157417	0.068045229	ARA1	SOL	L-arabinokinase OS=Arabidopsis thaliana OX=3702 GN=ARA1 PE=1 SV=1	False
O23463	-0.55	0.020215447	0.045443191	CAMTA5	MEM	Calmodulin-binding transcription activator 5 OS=Arabidopsis thaliana OX=3702 GN=CAMTA5 PE=2 SV=2	True
O23492	0.08	0.510184013	0.568966064	INT4	MEM	Inositol transporter 4 OS=Arabidopsis thaliana OX=3702 GN=INT4 PE=1 SV=1	False
O23515	-0.6	0.019752437	0.08433998	RPL15A	SOL	60S ribosomal protein L15-1 OS=Arabidopsis thaliana OX=3702 GN=RPL15A PE=2 SV=1	False
O23523	-0.5	0.142837572	0.19702977	RGGA	MEM	RGG repeats nuclear RNA binding protein A OS=Arabidopsis thaliana OX=3702 GN=RGGA PE=1 SV=1	False
O23553	-0.66	0.000490527	0.007282537	BAM3	MEM	Beta-amylase 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BAM3 PE=1 SV=3	True
O23569	0.09	0.834147638	0.872666634	dl4665w	SOL	L-lactate dehydrogenase OS=Arabidopsis thaliana OX=3702 GN=dl4665w PE=1 SV=1	False
O23593	-0.23	0.086379398	0.130800675	RGGB	MEM	RGG repeats nuclear RNA binding protein B OS=Arabidopsis thaliana OX=3702 GN=RGGB PE=1 SV=1	False
O23614	-0.04	0.356623067	0.46122071	CTPA2	SOL	Carboxyl-terminal-processing peptidase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CTPA2 PE=1 SV=1	False
O23617	-0.64	0.077414138	0.170172781	TPS5	SOL	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 5 OS=Arabidopsis thaliana OX=3702 GN=TPS5 PE=1 SV=2	False
O23627	0.58	0.001070072	0.00976055	At1g29880	MEM	Glycine--tRNA ligase, mitochondrial 1 OS=Arabidopsis thaliana OX=3702 GN=At1g29880 PE=1 SV=1	True
O23628	0.48	0.009775341	0.06161201	H2AV	SOL	Histone H2A variant 1 OS=Arabidopsis thaliana OX=3702 GN=H2AV PE=1 SV=1	False
O23629	0.3	0.003505064	0.016661157	H2B	MEM	Histone H2B.6 OS=Arabidopsis thaliana OX=3702 GN=H2B PE=1 SV=3	True
