TAIR	log2fc	pvalue	fdr	significant
AT1G11130	-0.2552138716932995	0.0723574907711491	0.27915921524305376	False
AT1G11160	-0.060453312119289206	0.9225441183219235	0.9713137208986123	False
AT1G11170	-0.22826603406031595	0.5037856647015275	0.7564026082166903	False
AT1G11175	0.6505229595694275	0.015056283469137568	0.10796388795587514	False
AT1G11180	-0.12526008165156263	0.6083928267308556	0.819887822634155	False
AT1G11185	0.986494796184711	0.08582924508137396	0.3078415295466874	False
AT1G11190	0.7780016413153468	0.5597475278517045		False
AT1G11200	-0.14725232978227626	0.3227039415087777	0.6180015528349151	False
AT1G11210	-0.25071947856465215	0.24629789069796082	0.5392824311962489	False
AT1G11220	0.3832991674272489	0.5867035588948658	0.8083592097278826	False
AT1G11240	-0.29376637790387333	0.11507783753425398	0.36117547287263263	False
AT1G11250	-0.06548826097045743	0.9572423313946263		False
AT1G11260	1.1688440017089048	0.004465078774355418	0.048686300889620414	True
AT1G11270	0.48230432653619004	0.004045842089920208	0.04543050458321209	True
AT1G11280	-0.12718757396072047	0.27466743057821563	0.5716365993177065	False
AT1G11290	0.21920773366857108	0.06723272364616155	0.26679104403738646	False
AT1G11300	-0.399393487695669	0.26260834014185186	0.558354526216044	False
AT1G11303	0.16964988119725183	0.6194692533077664	0.8249202949402278	False
AT1G11310	-0.004949731261756308	0.9617468319027871	0.9857250870555786	False
AT1G11320	0.10464278046845571	0.658290234257147	0.8455043717279919	False
AT1G11330	-0.48621005349025664	0.04445547811763457	0.21056424378021765	False
AT1G11340	0.21579102200470485	0.3314029662184519	0.6267108343308382	False
AT1G11350	0.08377837599584628	0.5656366453490755	0.796350636857351	False
AT1G11360	0.1388978909137343	0.29630591007080587	0.593871780970579	False
AT1G11362	1.4995552437494803	0.10134631516583098		False
AT1G11380	1.4575390150610081	2.0942508371191665e-12	2.8908141019519923e-09	True
AT1G11390	0.06225542324650412	0.7156129409170474	0.8764875195349183	False
AT1G11400	0.15643684109322056	0.36037217289649326	0.6514701226659243	False
AT1G11410	-0.6852367124166606	7.62120728272404e-05	0.0026681128757000375	True
AT1G11420	0.02979884081124137	0.9473184075936681	0.9795399432862202	False
AT1G11430	-0.016878427672794186	0.8606547687269562	0.944874866802089	False
AT1G11440	0.4615609467723747	0.0359943532017826	0.18563941169587636	False
AT1G11450	0.43085930181658566	0.21618948254584636	0.5068990233193983	False
AT1G11460	1.5974601591833135	0.09775097064228278		False
AT1G11475	-0.04879965040234156	0.7895664172380586	0.9114095190724557	False
AT1G11480	0.19737381885311103	0.13849719578886807	0.3999525332164737	False
AT1G11530	-0.3794434481615419	0.044970333050447744	0.21165408821234843	False
AT1G11540	0.7076279591406037	0.4557716405952469		False
AT1G11545	-0.0010428827685786042	0.9985426696214496	0.9994218505507828	False
AT1G11570	0.04707119059134982	0.9541788951295409		False
AT1G11580	-0.27839159264962565	0.20992452390540461	0.49857785272774346	False
AT1G11592	0.20542214997986846	0.4267780810233488	0.7030505852677705	False
AT1G11600	0.16878778125903757	0.6476651179227528	0.8391749953777801	False
AT1G11630	0.3495060180049808	0.014899899249041997	0.10721300273136894	False
AT1G11650	-0.09398726496824207	0.14245874292086216	0.4063576083680725	False
AT1G11660	0.11843812606044171	0.28137086293919744	0.5785061123381569	False
AT1G11670	-0.2406816137152035	0.45045967180861424	0.7219129574815972	False
AT1G11680	-0.14511602691266604	0.04021598400869997	0.19780450266432348	False
AT1G11700	-0.26690747204233983	0.3015369799965163	0.5988287060356261	False
AT1G11710	-0.02569219788817049	0.8973211859791976	0.9606371696805177	False
AT1G11720	-0.05516862146256755	0.6640847250450188	0.8488845952834363	False
AT1G11730	-0.4477521534943172	0.4543610267870404	0.724764906534012	False
AT1G11740	1.568816506514962	0.01559385567302876	0.11087242858030934	False
AT1G11750	-0.24248352307101412	0.015212264702144747	0.10875953213797529	False
AT1G11755	0.13426289943318218	0.4133630260931037	0.6939768185411392	False
AT1G11760	0.25997523332379924	0.26333487154627044	0.5591634317802083	False
AT1G11780	0.2335314740074385	0.11347782197993747	0.3586782645996552	False
AT1G11790	-0.25760025801059855	0.02876213241467362	0.16257040330902828	False
AT1G11800	-0.04512913511118746	0.7619234886901723	0.8992536963307333	False
AT1G11820	-0.049254724636003874	0.6344721460088479	0.8329153182447834	False
AT1G11840	-0.2927679300047765	0.06646739212166981	0.26469931693040144	False
AT1G11850	-0.021544500180339144	0.9452521958416653	0.9788981314008361	False
AT1G11860	-0.17167836427459796	0.17783822391626303	0.45697913131144646	False
AT1G11870	-0.14224244490347027	0.2361374072419138	0.5284107682897156	False
AT1G11880	-0.026495027994227694	0.879819769438102	0.9532766410731948	False
AT1G11890	-0.16926143584446024	0.1607682559711049	0.4329496302454852	False
AT1G11900	0.2890545048423282	0.20986368731027039	0.49856305396145273	False
AT1G11905	-0.17194644412817817	0.2983572445226045	0.5959182729264961	False
AT1G11910	-0.5181752990843	0.0002745759991381958	0.006927129482174456	True
AT1G11915	-0.6726190455544551	0.48836602630401116		False
AT1G11930	-0.5216649136003182	0.08451609701951011	0.30545606412979853	False
AT1G11940	-0.7567606241207233	0.0012871404892022334	0.02043877563996151	True
AT1G11950	-0.09704388571672107	0.5254867618770273	0.7705805837410273	False
AT1G11960	-0.2970881053665421	0.046977648615917904	0.21788686430920523	False
AT1G12000	-0.22951286597887322	0.01835772176964141	0.12245874117995176	False
AT1G12010	-0.48774987982182977	0.06571202466477528	0.26279153524860405	False
AT1G12013	0.7165400670006715	0.4707573963161258		False
AT1G12020	0.13749184835577027	0.4044330704252429	0.686246666546778	False
AT1G12030	0.16234106884490576	0.7442635267227196	0.8899847725418892	False
AT1G12050	-0.08629674649295255	0.5338430593903525	0.7755978127458609	False
AT1G12060	0.13361139981382775	0.6875166491351795	0.8609384737671226	False
AT1G12070	0.29937012540705277	0.391069891954673	0.6767641857279535	False
AT1G12080	-0.5535549112691509	0.03743547046236974	0.19018570550042574	False
AT1G12090	-0.3265105231649454	0.053297579657480505	0.23366055510000247	False
AT1G12100	0.46366364015323136	0.7020917273968506		False
AT1G12110	-0.38334540331550954	0.02308676423023422	0.14087518748003672	False
AT1G12120	0.034472652167770804	0.7492159949388355	0.891985789752969	False
AT1G12140	-0.2842863794451682	0.09381712563233394	0.32247985575625887	False
AT1G12160	0.39267033604107393	0.5352373458251011	0.7762887375967203	False
AT1G12200	-0.27238058943995164	0.13108736586574937	0.3881206289804821	False
AT1G12210	0.02768121946328509	0.9150524536593877	0.9688080808415632	False
AT1G12220	0.5938989968029978	0.00048806553336195197	0.010141791862601852	True
AT1G12230	-0.1287039141363756	0.3404751476533663	0.6345532094127981	False
AT1G12240	-0.4312166564124761	0.05981903472320477	0.24924597801335321	False
AT1G12244	-0.19343452640268582	0.23671311275307816	0.5289640268216045	False
AT1G12250	-0.2768533721701118	0.029988109930013704	0.1660992331319905	False
AT1G12260	-0.1488174861712303	0.8180202484962558	0.9246207698537838	False
AT1G12270	-0.0660136096768066	0.6435361698276132	0.8366365603978501	False
AT1G12280	0.22801621328943752	0.21681837353317224	0.5079421831165661	False
AT1G12290	0.4335822506892517	0.001612259384885913	0.02406812736802051	True
AT1G12300	0.41677024047003275	0.009415607249305008	0.0804405880162773	False
AT1G12310	0.11129025337085104	0.4141395972696419	0.6944262514715549	False
AT1G12320	-0.22783456658834197	0.37451562719139186	0.6636268563610533	False
AT1G12330	-0.349731357247462	0.023563703191250996	0.14252537219747277	False
AT1G12340	0.6635055905957171	0.6580124775503824		False
AT1G12350	-0.02613839592649884	0.8582968738752903	0.9440665222975968	False
AT1G12360	0.14583299077533401	0.2172011552209263	0.508592308814298	False
AT1G12370	-0.570682098591079	0.021592236396694546	0.1354670577567378	False
AT1G12380	-0.28472683032529106	0.46173822810715015	0.7301441173529725	False
